regId;address;factoryId;model
0000048952037338;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106308755882;АТОЛ FPrint-22ПТК
0000039219020755;195274, Санкт-Петербург г, пр-кт.Культуры, д.1, лит.А;00106307344169;АТОЛ FPrint-22ПТК
0000182040024937;109052, Москва г, ул.Нижегородская, д.50;009000116;СПАРК-115-Ф
0000181407021466;109052, Москва г, ул.Нижегородская, д.50;009000447;СПАРК-115-Ф
0000083853048447;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301141944;АТОЛ FPrint-22ПТК
0000084015044351;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304568120;АТОЛ FPrint-22ПТК
0000084276002635;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106303602296;АТОЛ FPrint-22ПТК
0000084135034696;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106305699561;АТОЛ FPrint-22ПТК
0000084381004854;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307084460;АТОЛ FPrint-22ПТК
0000084447010757;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304396272;АТОЛ FPrint-22ПТК
0000084493029399;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301502866;АТОЛ FPrint-22ПТК
0000085394062101;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307946287;АТОЛ FPrint-22ПТК
0000085275028274;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307169969;АТОЛ FPrint-22ПТК
0000098274013026;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000132;СПАРК-115-Ф
0000098005039375;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000202;СПАРК-115-Ф
0000098172059344;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000134;СПАРК-115-Ф
0000098039022090;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000169;СПАРК-115-Ф
0000098195049047;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000135;СПАРК-115-Ф
0000098060010528;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000168;СПАРК-115-Ф
0000097973039885;191040, Санкт-Петербург г, пр-кт.Лиговский, д.30, лит.А;009000203;СПАРК-115-Ф
