;effectiveFrom;model;regId;status;storageId
0;2017-02-06T16:53:00;ФН-1;0000048952037338;2;8710000100131713
0;2017-01-30T21:48:00;ФН-1;0000039219020755;2;8710000100130344
0;2017-03-21T19:15:00;ФН-1;0000182040024937;2;8710000100086130
0;2017-03-21T17:16:00;ФН-1;0000181407021466;2;8710000100181115
0;2017-02-21T15:52:00;ФН-1;0000083853048447;2;8710000100099930
0;2017-02-21T16:19:00;ФН-1;0000084015044351;2;8710000100130270
0;2017-02-21T17:03:00;ФН-1;0000084276002635;2;8710000100100014
0;2017-02-21T16:42:00;ФН-1;0000084135034696;2;8710000100079243
0;2017-02-21T17:19:00;ФН-1;0000084381004854;2;8710000100100284
0;2017-02-21T17:39:00;ФН-1;0000084447010757;2;8710000100099684
0;2017-02-21T17:52:00;ФН-1;0000084493029399;2;8710000100130241
0;2017-02-22T09:45:00;ФН-1;0000085394062101;2;8710000100130228
0;2017-02-22T09:20:00;ФН-1;0000085275028274;2;8710000100130431
0;2017-02-28T18:26:00;ФН-1;0000098274013026;2;8710000100086049
0;2017-02-28T19:13:00;ФН-1;0000098005039375;2;8710000100087229
0;2017-02-28T19:09:00;ФН-1;0000098172059344;2;8710000100086062
0;2017-02-28T19:04:00;ФН-1;0000098039022090;2;8710000100087150
0;2017-02-28T18:15:00;ФН-1;0000098195049047;2;8710000100086018
0;2017-02-28T18:05:00;ФН-1;0000098060010528;2;8710000100087149
0;2017-02-28T17:52:00;ФН-1;0000097973039885;2;8710000100087231
0;2017-03-02T13:03:00;ФН-1;0000106077026786;2;8710000100087182
0;2017-03-15T15:53:00;ФН-1;0000150329045261;2;8710000100086057
0;2017-04-14T18:38:00;ФН-1;0000326751055438;2;8710000100351949
0;2017-03-20T16:43:00;ФН-1;0000169882035565;2;8710000100180141
0;2017-03-20T16:53:00;ФН-1;0000169846021624;2;8710000100180480
0;2017-04-14T18:32:00;ФН-1;0000326734031321;2;8710000100351672
0;2017-03-21T13:49:00;ФН-1;0000178578022674;2;8710000100082976
0;2017-03-21T16:12:00;ФН-1;0000180038038528;2;8710000100082945
0;2017-03-21T18:47:00;ФН-1;0000181940025717;2;8710000100086100
0;2017-03-21T18:27:00;ФН-1;0000181888055418;2;8710000100180210
0;2017-04-14T18:24:00;ФН-1;0000326764018245;2;8710000100435361
0;2017-02-06T16:26:00;ФН-1;0000048844058529;2;8710000100131727
0;2017-03-22T21:27:00;ФН-1;0000189449028862;2;8710000100083023
0;2017-03-22T21:42:00;ФН-1;0000189465029090;2;8710000100082929
0;2017-03-22T21:55:00;ФН-1;0000189475059505;2;8710000100087046
0;2017-03-22T22:05:00;ФН-1;0000189482011283;2;8710000100087227
0;2017-03-23T14:04:00;ФН-1;0000190276039097;2;8710000100082792
0;2017-03-23T14:16:00;ФН-1;0000190666003726;2;8710000100086029
0;2017-03-23T16:57:00;ФН-1;0000191894009188;2;8710000100180351
0;;ФН-1;0000192065035063;2;8710000100086033
0;2017-03-23T15:59:00;ФН-1;0000192250002480;2;8710000100082802
0;2017-03-23T16:07:00;ФН-1;0000192384001225;2;8710000100082887
0;2017-03-23T16:16:00;ФН-1;0000192508008210;2;8710000100086070
0;2017-03-23T16:22:00;ФН-1;0000192613044392;2;8710000100086097
0;2017-03-30T18:16:00;ФН-1;0000240820029651;2;8710000100082873
0;2017-03-30T18:22:00;ФН-1;0000240938046726;2;8710000100083043
0;2017-04-10T10:46:00;ФН-1;0000293786004802;2;8710000100087211
0;2017-04-10T10:20:00;ФН-1;0000293027009042;2;8710000100087236
0;2017-01-31T19:52:00;ФН-1;0000041269052912;2;8710000100130248
0;2017-04-10T11:09:00;ФН-1;0000294058040334;2;8710000100086105
0;2017-04-10T11:27:00;ФН-1;0000294301019387;2;8710000100086078
0;2017-04-10T11:37:00;ФН-1;0000294468027980;2;8710000100082960
0;2017-04-10T11:58:00;ФН-1;0000294719040063;2;8710000100087189
0;2017-04-10T11:48:00;ФН-1;0000294619055875;2;8710000100082994
0;2017-04-10T12:06:00;ФН-1;0000294802037947;2;8710000100087138
0;2017-04-10T08:30:00;ФН-1;0000292464020586;2;8710000100087194
0;2017-04-10T08:44:00;ФН-1;0000292532034264;2;8710000100082845
0;2017-04-10T08:55:00;ФН-1;0000292580048663;2;8710000100082946
0;2017-04-10T09:07:00;ФН-1;0000292657064321;2;8710000100083019
0;2017-04-26T15:05:00;ФН-1;0000387930040064;2;8710000100437219
0;2017-04-26T15:18:00;ФН-1;0000388157039081;2;8710000100437340
0;;ФН-1;0000388255006701;2;8710000100437015
0;;ФН-1;0000388280064957;2;8710000100434777
0;2017-04-18T13:48:00;ФН-1;0000338599036171;2;8710000100373863
0;2017-04-18T15:02:00;ФН-1;0000338895047064;2;8710000100373990
0;2017-04-18T14:27:00;ФН-1;0000338990002695;2;8710000100312951
0;2017-04-18T14:39:00;ФН-1;0000339013006710;2;8710000100373828
0;2017-04-18T14:47:00;ФН-1;0000339030037978;2;8710000100373929
0;2017-04-18T14:55:00;ФН-1;0000339176065430;2;8710000100374103
0;2017-04-18T15:09:00;ФН-1;0000338947038505;2;8710000100374148
0;2017-04-19T15:45:00;ФН-1;0000347843039562;2;8710000100352049
0;2017-04-19T15:41:00;ФН-1;0000347944048485;2;8710000100352080
0;2017-04-19T15:48:00;ФН-1;0000347908062631;2;8710000100352085
0;;ФН-1;0000347924062907;2;87100100352122
0;2017-04-21T13:56:00;ФН-1;0000361999035361;2;8710000100436051
0;2017-04-21T13:46:00;ФН-1;0000362252030922;2;8710000100436283
0;2017-04-21T14:26:00;ФН-1;0000361850057104;2;8710000100435949
0;2017-04-21T13:42:00;ФН-1;0000362052038626;2;8710000100435465
0;2017-04-21T13:33:00;ФН-1;0000362199047277;2;8710000100436260
0;2017-04-21T12:21:00;ФН-1;0000361247050254;2;8710000100437022
0;2017-04-21T14:33:00;ФН-1;0000362312040580;2;8710000100435854
0;2017-04-21T12:26:00;ФН-1;0000361442036105;2;8710000100435974
0;2017-04-21T12:44:00;ФН-1;0000361480026571;2;8710000100437097
0;2017-04-26T15:15:00;ФН-1;0000388127003286;2;8710000100437276
0;2017-04-26T15:22:00;ФН-1;0000388226018579;2;8710000100440063
0;2017-04-26T18:15:00;ФН-1;0000389448006674;2;8710000100495951
0;;ФН-1;0000390108013830;2;8710000100495904
0;;ФН-1;0000389700044345;2;8710000100495911
0;;ФН-1;0000389406002284;2;8710000100495878
0;2017-04-27T10:08:00;ФН-1;0000390518013935;2;8710000100436009
0;2017-04-27T10:05:00;ФН-1;0000390375043238;2;8710000100437298
0;2017-04-27T10:02:00;ФН-1;0000390355008853;2;8710000100437342
0;2017-04-27T09:57:00;ФН-1;0000390333022178;2;8710000100437146
0;;ФН-1;0000419978046396;2;8710000100439627
0;;ФН-1;0000420016052838;2;8710000100501634
0;;ФН-1;0000419992031155;2;8710000100501597
0;;ФН-1;0000420025028482;2;8710000100437358
0;;ФН-1;0000420044035330;2;8710000100437299
0;;ФН-1;0000425094023419;2;8710000100501951
0;;ФН-1;0000425147051061;2;8710000100435356
0;;ФН-1;0000425160003726;2;8710000100436006
0;;ФН-1;0000425174038328;2;8710000100502164
0;;ФН-1;0000425193060861;2;8710000100437254
