;regId;address;factoryId;model_x;effectiveFrom;model_y;status;storageId
0;0000048952037338;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106308755882;АТОЛ FPrint-22ПТК;2017-02-06T16:53:00;ФН-1;2;8710000100131713
1;0000039219020755;195274, Санкт-Петербург г, пр-кт.Культуры, д.1, лит.А;00106307344169;АТОЛ FPrint-22ПТК;2017-01-30T21:48:00;ФН-1;2;8710000100130344
2;0000182040024937;109052, Москва г, ул.Нижегородская, д.50;009000116;СПАРК-115-Ф;2017-03-21T19:15:00;ФН-1;2;8710000100086130
3;0000181407021466;109052, Москва г, ул.Нижегородская, д.50;009000447;СПАРК-115-Ф;2017-03-21T17:16:00;ФН-1;2;8710000100181115
4;0000083853048447;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301141944;АТОЛ FPrint-22ПТК;2017-02-21T15:52:00;ФН-1;2;8710000100099930
5;0000084015044351;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304568120;АТОЛ FPrint-22ПТК;2017-02-21T16:19:00;ФН-1;2;8710000100130270
6;0000084276002635;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106303602296;АТОЛ FPrint-22ПТК;2017-02-21T17:03:00;ФН-1;2;8710000100100014
7;0000084135034696;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106305699561;АТОЛ FPrint-22ПТК;2017-02-21T16:42:00;ФН-1;2;8710000100079243
8;0000084381004854;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307084460;АТОЛ FPrint-22ПТК;2017-02-21T17:19:00;ФН-1;2;8710000100100284
9;0000084447010757;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106304396272;АТОЛ FPrint-22ПТК;2017-02-21T17:39:00;ФН-1;2;8710000100099684
10;0000084493029399;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106301502866;АТОЛ FPrint-22ПТК;2017-02-21T17:52:00;ФН-1;2;8710000100130241
11;0000085394062101;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307946287;АТОЛ FPrint-22ПТК;2017-02-22T09:45:00;ФН-1;2;8710000100130228
12;0000085275028274;199004, Санкт-Петербург г, пр-кт.Средний В.О., д.36/40;00106307169969;АТОЛ FPrint-22ПТК;2017-02-22T09:20:00;ФН-1;2;8710000100130431
